Date and time,Check time,Measured air temperature,Forecasted air temperature,Feelslike temperature,Forecasted feelslike temperature
2023-03-09 16:00:00,2023-03-09 16:00:00,0.3,-0.3,0.3,-3.9
2023-03-09 17:00:00,2023-03-09 17:00:00,-2.5,-1.1,-2.5,-3.7
2023-03-09 18:00:00,2023-03-09 18:00:00,-3.3,-1.7,-3.3,-4.4
2023-03-09 19:00:00,2023-03-09 19:00:00,-3.6,-2.1,-3.6,-4.9
2023-03-09 20:00:00,2023-03-09 20:00:00,-3.9,-2.4,-6.2,-2.4
2023-03-09 21:00:00,2023-03-09 21:00:00,-3.9,-2.7,-6.2,-2.7
2023-03-10 00:00:00,2023-03-10 00:00:00,-4.4,-8.4,-7.6,-13.6
2023-03-10 03:00:00,2023-03-10 03:00:00,-5.4,-8.1,-9.6,-13.2
2023-03-10 06:00:00,2023-03-10 06:00:00,-4.3,-5.6,-8.9,-10.2
2023-03-10 07:00:00,2023-03-10 07:00:00,-3.3,-2.8,-7.7,-7.7
2023-03-10 08:00:00,2023-03-10 08:00:00,-2.4,-2.3,-6.5,-7.1
2023-03-10 09:00:00,2023-03-10 09:00:00,-1.6,-1.9,-5.5,-6.6
2023-03-10 10:00:00,2023-03-10 10:00:00,-0.9,-2.1,-5.5,-7.5
2023-03-10 11:00:00,2023-03-10 11:00:00,-0.5,-2,-5,-8
2023-03-10 12:00:00,2023-03-10 12:00:00,-0.6,-1.3,-5.2,-7.1
2023-03-10 15:00:00,2023-03-10 15:00:00,-1,-3.3,-6.2,-10.2
2023-03-10 16:00:00,2023-03-10 16:00:00,-1.3,-1.9,-5.7,-7.9
2023-03-10 17:00:00,2023-03-10 17:00:00,-1.6,-1.8,-6.3,-7.2
2023-03-10 18:00:00,2023-03-10 18:00:00,-2,-1.9,-6.9,-5.8
2023-03-10 19:00:00,2023-03-10 19:00:00,-2.3,-1.3,-7.2,-5.9
2023-03-10 20:00:00,2023-03-10 20:00:00,-2.6,-1.1,-7.2,-5.6
2023-03-10 21:00:00,2023-03-10 21:00:00,-2.8,-1.9,-7.5,-4.7
2023-03-11 00:00:00,2023-03-11 00:00:00,-2.9,-0.7,-7.1,-3.3
2023-03-11 03:00:00,2023-03-11 03:00:00,-3.4,1.1,-7.7,-1.2
2023-03-11 06:00:00,2023-03-11 06:00:00,-3.2,2,-7.5,-1.1
2023-03-11 07:00:00,2023-03-11 07:00:00,-2.9,4,-7.1,0.6
2023-03-11 08:00:00,2023-03-11 08:00:00,-2.7,4.1,-7.1,0.7
2023-03-11 09:00:00,2023-03-11 09:00:00,-2.2,3.3,-5.8,-0.2
2023-03-11 10:00:00,2023-03-11 10:00:00,-1.2,4.8,-5.3,1.1
2023-03-11 11:00:00,2023-03-11 11:00:00,-0.6,4.7,-5.7,0.5
2023-03-11 12:00:00,2023-03-11 12:00:00,-0.1,4.4,-5,1.8
2023-03-11 13:00:00,2023-03-11 13:00:00,0.3,5.5,-4.6,5.5
2023-03-11 14:00:00,2023-03-11 14:00:00,0.5,5.2,-4.3,5.2
2023-03-11 15:00:00,2023-03-11 15:00:00,0.9,-1.5,-4.7,-7.4
2023-03-11 16:00:00,2023-03-11 16:00:00,0,0.2,-5.6,-5.2
2023-03-11 17:00:00,2023-03-11 17:00:00,0.8,-1.6,-4.8,-7.5
2023-03-11 18:00:00,2023-03-11 18:00:00,1,-2.8,-4.4,-9.5
2023-03-11 19:00:00,2023-03-11 19:00:00,0.8,-2.7,-4.8,-9.4
2023-03-11 20:00:00,2023-03-11 20:00:00,0.8,-2.9,-4.9,-9.6
2023-03-11 21:00:00,2023-03-11 21:00:00,0.9,-3.8,-3.8,-10.8
2023-03-12 00:00:00,2023-03-12 00:00:00,1.1,-3.4,-2.6,-9.8
2023-03-12 03:00:00,2023-03-12 03:00:00,1.3,-4.4,-3.9,-10.4
2023-03-12 04:00:00,2023-03-12 04:00:00,0.6,-5.3,-5.2,-9.9
2023-03-12 05:00:00,2023-03-12 05:00:00,0.9,-4.3,-4.9,-9.6
2023-03-12 06:00:00,2023-03-12 06:00:00,1.1,-5.1,-4.3,-10.5
2023-03-12 07:00:00,2023-03-12 07:00:00,0.6,-1.5,-4.7,-7.4
2023-03-12 08:00:00,2023-03-12 08:00:00,1.2,-0.7,-4.2,-6.8
2023-03-12 09:00:00,2023-03-12 09:00:00,1.5,-1.8,-4,-7.2
2023-03-12 10:00:00,2023-03-12 10:00:00,0.6,0.2,-4.6,-5.7
2023-03-12 11:00:00,2023-03-12 11:00:00,0,-0.3,-5.9,-6.7
2023-03-12 12:00:00,2023-03-12 12:00:00,-0.3,-1.6,-6.6,-8
2023-03-12 15:00:00,2023-03-12 15:00:00,1.1,-2,-4.4,-8.5
2023-03-12 18:00:00,2023-03-12 18:00:00,0.9,-4.6,-3.2,-11.3
2023-03-12 21:00:00,2023-03-12 21:00:00,1.1,-5.8,-2.9,-12.2
2023-03-13 00:00:00,2023-03-13 00:00:00,1,-7.5,-1.9,-13.5
2023-03-13 03:00:00,2023-03-13 03:00:00,1.2,-9.1,-2.8,-15.4
2023-03-13 06:00:00,2023-03-13 06:00:00,-1.1,-7.4,-5.8,-13.4
2023-03-13 07:00:00,2023-03-13 07:00:00,-1.5,-2.8,-6.9,-6.9
2023-03-13 08:00:00,2023-03-13 08:00:00,-0.6,-0.9,-5.2,-4.6
2023-03-13 09:00:00,2023-03-13 09:00:00,0.2,0.7,-3.8,-2.7
2023-03-13 10:00:00,2023-03-13 10:00:00,0.3,1.7,-3.9,-2.2
2023-03-13 11:00:00,2023-03-13 11:00:00,0.8,2.5,-3.4,-1.2
2023-03-13 12:00:00,2023-03-13 12:00:00,1.3,3.2,-2.7,-0.9
2023-03-13 15:00:00,2023-03-13 15:00:00,3.5,2.4,-0.9,-2.4
2023-03-13 18:00:00,2023-03-13 18:00:00,4.8,1.2,0.4,-4.4
2023-03-13 21:00:00,2023-03-13 21:00:00,4.7,2.4,0.6,-3.2
2023-03-14 00:00:00,2023-03-14 00:00:00,5.5,4,5.5,-0.8
2023-03-14 03:00:00,2023-03-14 03:00:00,5.5,4.8,5.5,0.6
2023-03-14 06:00:00,2023-03-14 06:00:00,6.7,5.4,6.7,5.4
2023-03-14 07:00:00,2023-03-14 07:00:00,6.4,6,6.4,6
2023-03-14 08:00:00,2023-03-14 08:00:00,6.8,7.3,6.8,7.3
2023-03-14 09:00:00,2023-03-14 09:00:00,7.6,6.4,7.6,6.4
2023-03-14 10:00:00,2023-03-14 10:00:00,6.8,6.7,6.8,6.7
2023-03-14 11:00:00,2023-03-14 11:00:00,7.1,9,7.1,9
2023-03-14 12:00:00,2023-03-14 12:00:00,6,10.6,6,10.6
2023-03-14 13:00:00,2023-03-14 13:00:00,7.2,11.3,7.2,11.3
2023-03-14 14:00:00,2023-03-14 14:00:00,6.6,10.9,6.6,10.9
2023-03-14 15:00:00,2023-03-14 15:00:00,7.6,10.7,7.6,10.7
2023-03-14 16:00:00,2023-03-14 16:00:00,7.6,10,7.6,10
2023-03-14 17:00:00,2023-03-14 17:00:00,5.7,9.6,5.7,9.6
2023-03-14 18:00:00,2023-03-14 18:00:00,6.3,8.8,6.3,8.8
2023-03-14 21:00:00,2023-03-14 21:00:00,5.7,7.8,5.7,7.8
2023-03-15 00:00:00,2023-03-15 00:00:00,2.1,7.2,-0.4,7.2
2023-03-15 03:00:00,2023-03-15 03:00:00,3,6.8,-1.1,6.8
2023-03-15 06:00:00,2023-03-15 06:00:00,2.4,4.6,-1.5,0.4
2023-03-15 07:00:00,2023-03-15 07:00:00,3.2,2.1,0,-1.7
2023-03-15 08:00:00,2023-03-15 08:00:00,3.2,2.2,-1,-0.9
2023-03-15 09:00:00,2023-03-15 09:00:00,4,4.4,1.1,0.6
2023-03-15 10:00:00,2023-03-15 10:00:00,4.1,3.5,1.1,0
2023-03-15 11:00:00,2023-03-15 11:00:00,4.5,3.7,1.7,0.3
2023-03-15 12:00:00,2023-03-15 12:00:00,4.5,5,1.2,1.8
2023-03-15 13:00:00,2023-03-15 13:00:00,4.7,4.6,1.9,1.4
2023-03-15 14:00:00,2023-03-15 14:00:00,4.3,4.5,1.5,1.9
2023-03-15 15:00:00,2023-03-15 15:00:00,4,4.4,1.1,1.8
2023-03-15 16:00:00,2023-03-15 16:00:00,3.2,3.9,0.7,1.2
2023-03-15 17:00:00,2023-03-15 17:00:00,2.6,3.1,0.1,0.2
2023-03-15 18:00:00,2023-03-15 18:00:00,2.3,2.7,-0.5,-0.3
2023-03-15 21:00:00,2023-03-15 21:00:00,2,0.9,-0.9,-2.4
2023-03-16 00:00:00,2023-03-16 00:00:00,2.3,-1.2,-1.3,-3.9
2023-03-16 03:00:00,2023-03-16 03:00:00,1.8,-2.6,-0.9,-5.5
2023-03-16 06:00:00,2023-03-16 06:00:00,2.1,-1.5,-0.2,-4.2
2023-03-16 07:00:00,2023-03-16 07:00:00,3.5,0.9,1.6,-2.4
2023-03-16 08:00:00,2023-03-16 08:00:00,4,2.2,2.1,-0.9
2023-03-16 09:00:00,2023-03-16 09:00:00,4.1,3.3,2.2,0.5
2023-03-16 10:00:00,2023-03-16 10:00:00,4,5,1.6,2.5
2023-03-16 11:00:00,2023-03-16 11:00:00,1,5.6,-1.4,5.6
2023-03-16 12:00:00,2023-03-16 12:00:00,0.4,5.2,0.4,5.2
2023-03-16 13:00:00,2023-03-16 13:00:00,1.7,6,-0.4,6
2023-03-16 14:00:00,2023-03-16 14:00:00,1.6,5.8,0.1,5.8
2023-03-16 15:00:00,2023-03-16 15:00:00,1.9,4.8,0.4,3.1
2023-03-16 16:00:00,2023-03-16 16:00:00,1.5,4.4,1.5,1.8
2023-03-16 17:00:00,2023-03-16 17:00:00,1,2.9,1,0.9
2023-03-16 18:00:00,2023-03-16 18:00:00,-0.8,-1.4,-0.8,-4.1
2023-03-16 19:00:00,2023-03-16 19:00:00,-1.2,1.3,-1.2,-0.9
2023-03-16 20:00:00,2023-03-16 20:00:00,-1.2,0.9,-1.2,0.9
2023-03-16 21:00:00,2023-03-16 21:00:00,-1.7,-2.5,-1.7,-6.5
2023-03-17 00:00:00,2023-03-17 00:00:00,-2.7,-3.5,-2.7,-6.5
2023-03-17 03:00:00,2023-03-17 03:00:00,-3.9,-4,-6.5,-7.1
2023-03-17 06:00:00,2023-03-17 06:00:00,-1.4,-0.4,-4,-4
2023-03-17 07:00:00,2023-03-17 07:00:00,-0.1,1.4,-3.5,1.4
2023-03-17 08:00:00,2023-03-17 08:00:00,1.4,3,-2.6,3
