Date and time,Check time,Measured air temperature,Forecasted air temperature,Feelslike temperature,Forecasted feelslike temperature
2023-03-11 18:00:00,2023-03-11 18:00:00,-1.8,-1.9,-7.7,-8.8
2023-03-11 21:00:00,2023-03-11 21:00:00,-1.7,-3,-7.1,-9.8
2023-03-12 00:00:00,2023-03-12 00:00:00,-3,-3,-8.9,-9.8
2023-03-12 03:00:00,2023-03-12 03:00:00,-4.5,-4.3,-8.2,-11.4
2023-03-12 06:00:00,2023-03-12 06:00:00,-4.2,-3.7,-8.4,-10.7
2023-03-12 09:00:00,2023-03-12 09:00:00,-0.2,-1.7,-5.2,-8.5
2023-03-12 12:00:00,2023-03-12 12:00:00,-0.6,-0.7,-6.7,-7.2
2023-03-12 15:00:00,2023-03-12 15:00:00,-0.5,-1.5,-6.2,-7.4
2023-03-12 18:00:00,2023-03-12 18:00:00,-1.8,-4.2,-7.7,-10.8
2023-03-12 21:00:00,2023-03-12 21:00:00,-3.4,-6.3,-7.8,-12
2023-03-13 00:00:00,2023-03-13 00:00:00,-6.4,-7.2,-11.2,-13.1
2023-03-13 03:00:00,2023-03-13 03:00:00,-9.2,-6.3,-13.2,-12.8
2023-03-13 06:00:00,2023-03-13 06:00:00,-7.5,-3.5,-12.3,-10.4
2023-03-13 09:00:00,2023-03-13 09:00:00,1.1,-1.2,-2.8,-7.9
2023-03-13 12:00:00,2023-03-13 12:00:00,2.8,1.1,-2,-4.9
2023-03-13 15:00:00,2023-03-13 15:00:00,1,1.5,-3.8,-4.7
2023-03-13 18:00:00,2023-03-13 18:00:00,2,3,-2.9,-1.2
2023-03-13 21:00:00,2023-03-13 21:00:00,3.8,4,-0.5,-0.8
2023-03-14 00:00:00,2023-03-14 00:00:00,4.6,5.8,1.4,5.8
2023-03-14 03:00:00,2023-03-14 03:00:00,5.4,6.4,5.4,6.4
2023-03-14 06:00:00,2023-03-14 06:00:00,4.8,6.9,0.7,6.9
2023-03-14 09:00:00,2023-03-14 09:00:00,5.4,10.9,5.4,10.9
2023-03-14 12:00:00,2023-03-14 12:00:00,8.7,11.9,8.7,11.9
2023-03-14 15:00:00,2023-03-14 15:00:00,9.8,10.2,9.8,10.2
2023-03-14 18:00:00,2023-03-14 18:00:00,7.4,6.4,7.4,6.4
2023-03-14 21:00:00,2023-03-14 21:00:00,7.3,6.3,7.3,6.3
2023-03-15 00:00:00,2023-03-15 00:00:00,6.7,2.3,6.7,-1.5
2023-03-15 03:00:00,2023-03-15 03:00:00,5.9,1,5.9,-3.7
2023-03-15 06:00:00,2023-03-15 06:00:00,2.3,1.8,-1.1,-1.3
2023-03-15 09:00:00,2023-03-15 09:00:00,3.3,6,-0.1,6
2023-03-15 12:00:00,2023-03-15 12:00:00,4.3,5,1,2.5
2023-03-15 15:00:00,2023-03-15 15:00:00,4.1,4.2,1.7,1.5
2023-03-15 18:00:00,2023-03-15 18:00:00,2.2,3.1,0.1,0.2
2023-03-15 21:00:00,2023-03-15 21:00:00,0.3,2,-2.1,-1.1
2023-03-16 00:00:00,2023-03-16 00:00:00,-1.3,0.3,-3.5,-2.1
2023-03-16 03:00:00,2023-03-16 03:00:00,-1.4,-1,-1.4,-3.6
2023-03-16 06:00:00,2023-03-16 06:00:00,-1,0.1,-1,-2.3
