Date and time,Check time,Measured air temperature,Forecasted air temperature,Feelslike temperature,Forecasted feelslike temperature
2023-03-14 00:00:00,2023-03-14 00:00:00,5.5,5.6,5.5,5.6
2023-03-14 06:00:00,2023-03-14 06:00:00,6.7,6.6,6.7,6.6
2023-03-14 12:00:00,2023-03-14 12:00:00,6,6.8,6,6.8
2023-03-14 18:00:00,2023-03-14 18:00:00,6.3,2.4,6.3,-2.4
2023-03-15 00:00:00,2023-03-15 00:00:00,2.1,-3.1,-0.4,-6.1
2023-03-15 06:00:00,2023-03-15 06:00:00,2.4,-1.8,-1.5,-4.5
2023-03-15 12:00:00,2023-03-15 12:00:00,4.5,4.7,1.2,2.1
2023-03-15 18:00:00,2023-03-15 18:00:00,2.3,1.6,-0.5,-2.3
2023-03-16 00:00:00,2023-03-16 00:00:00,2.3,1.1,-1.3,-2.2
2023-03-16 06:00:00,2023-03-16 06:00:00,2.1,-0.2,-0.2,-5.2
2023-03-16 12:00:00,2023-03-16 12:00:00,0.4,2.8,0.4,-0.1
2023-03-16 18:00:00,2023-03-16 18:00:00,-0.8,2.4,-0.8,-1.3
2023-03-17 00:00:00,2023-03-17 00:00:00,-2.7,5.3,-2.7,5.3
2023-03-17 06:00:00,2023-03-17 06:00:00,-1.4,-0.7,-4,-5.1
2023-03-17 12:00:00,2023-03-17 12:00:00,5.5,7.4,5.5,7.4
2023-03-17 18:00:00,2023-03-17 18:00:00,5.2,5.1,5.2,5.1
2023-03-18 06:00:00,2023-03-18 06:00:00,3.6,2.2,-0.9,-2.7
2023-03-18 12:00:00,2023-03-18 12:00:00,9.1,9.3,9.1,9.3
2023-03-18 18:00:00,2023-03-18 18:00:00,8.4,5.8,8.4,5.8
2023-03-19 00:00:00,2023-03-19 00:00:00,6.5,3.5,6.5,0
2023-03-19 06:00:00,2023-03-19 06:00:00,5.3,3,5.3,-0.6
2023-03-19 12:00:00,2023-03-19 12:00:00,8.5,9.2,8.5,9.2
2023-03-19 18:00:00,2023-03-19 18:00:00,6.7,6.3,6.7,6.3
2023-03-20 00:00:00,2023-03-20 00:00:00,4.6,4.7,4.6,0.5
2023-03-20 06:00:00,2023-03-20 06:00:00,5.9,4.3,5.9,0.5
2023-03-20 12:00:00,2023-03-20 12:00:00,5.8,9.2,5.8,9.2
2023-03-20 18:00:00,2023-03-20 18:00:00,3.9,8.3,1.3,8.3
2023-03-21 00:00:00,2023-03-21 00:00:00,3.8,8.2,0.8,8.2
2023-03-21 06:00:00,2023-03-21 06:00:00,2.9,9.4,0.1,9.4
2023-03-21 12:00:00,2023-03-21 12:00:00,3.1,14,0.1,14
2023-03-21 18:00:00,2023-03-21 18:00:00,2.1,7.3,0.4,7.3
2023-03-22 00:00:00,2023-03-22 00:00:00,2.4,6,-0.1,6
2023-03-22 06:00:00,2023-03-22 06:00:00,4.8,6.7,2.2,6.7
2023-03-22 12:00:00,2023-03-22 12:00:00,5.9,11.9,5.9,11.9
2023-03-22 18:00:00,2023-03-22 18:00:00,6,8.9,6,8.9
2023-03-23 00:00:00,2023-03-23 00:00:00,6.5,6.2,6.5,6.2
2023-03-23 06:00:00,2023-03-23 06:00:00,5.6,6.6,5.6,6.6
2023-03-23 12:00:00,2023-03-23 12:00:00,6.5,14.9,6.5,14.9
2023-03-23 18:00:00,2023-03-23 18:00:00,5.9,10.9,5.9,10.9
2023-03-25 12:00:00,2023-03-25 12:00:00,7.5,10.6,7.5,10.6
2023-03-25 18:00:00,2023-03-25 18:00:00,5.2,5.9,5.2,5.9
2023-03-26 00:00:00,2023-03-26 00:00:00,5.1,3.8,5.1,1.1
2023-03-26 12:00:00,2023-03-26 12:00:00,5.5,8.6,5.5,8.6
2023-03-26 18:00:00,2023-03-26 18:00:00,4,4.9,0.4,2.4
2023-03-27 00:00:00,2023-03-27 00:00:00,3,3.7,-1.1,3.7
2023-03-27 06:00:00,2023-03-27 06:00:00,1.5,4.5,-3.2,2.8
2023-03-27 12:00:00,2023-03-27 12:00:00,1.2,7.3,-3.4,7.3
2023-03-27 18:00:00,2023-03-27 18:00:00,0.2,4.3,-4.9,4.3
2023-03-28 00:00:00,2023-03-28 00:00:00,0.4,2.8,-3.4,-1.4
2023-03-28 06:00:00,2023-03-28 06:00:00,-0.3,1,-5.2,-3.7
2023-03-28 12:00:00,2023-03-28 12:00:00,0.9,0.2,-4.1,-5.7
2023-03-28 18:00:00,2023-03-28 18:00:00,-0.2,-2.6,-5.9,-10.1
2023-03-29 00:00:00,2023-03-29 00:00:00,0.5,-3.2,-4.3,-10.5
2023-03-29 06:00:00,2023-03-29 06:00:00,0.9,-3.6,-2,-10
2023-03-29 12:00:00,2023-03-29 12:00:00,3.8,-1.9,1.7,-8.4
2023-03-29 18:00:00,2023-03-29 18:00:00,2.7,-5,0.5,-10.4
2023-03-30 00:00:00,2023-03-30 00:00:00,4.1,-9.7,2.4,-15.1
2023-03-30 06:00:00,2023-03-30 06:00:00,4.2,-3.1,2.7,-9.4
2023-03-30 12:00:00,2023-03-30 12:00:00,5.4,2,5.4,-2.9
2023-03-30 18:00:00,2023-03-30 18:00:00,6.2,-3.1,6.2,-7.2
2023-03-31 00:00:00,2023-03-31 00:00:00,6.5,-5.4,6.5,-8.7
2023-03-31 06:00:00,2023-03-31 06:00:00,4.9,-6.2,3.2,-9.7
2023-03-31 12:00:00,2023-03-31 12:00:00,5.6,1.6,5.6,-0.6
2023-03-31 18:00:00,2023-03-31 18:00:00,4.3,-3.3,4.3,-7.5
2023-04-01 12:00:00,2023-04-01 12:00:00,3.1,5.5,0.1,5.5
2023-04-01 18:00:00,2023-04-01 18:00:00,1.6,3.7,-0.9,3.7
2023-04-02 00:00:00,2023-04-02 00:00:00,0.6,3,-2.1,1
2023-04-02 06:00:00,2023-04-02 06:00:00,1.7,7.5,-2.9,7.5
2023-04-02 12:00:00,2023-04-02 12:00:00,7,4.9,7,1.2
2023-04-02 18:00:00,2023-04-02 18:00:00,2.6,2.3,-0.5,-1.5
2023-04-03 00:00:00,2023-04-03 00:00:00,-1.1,0.1,-4.1,-3.4
2023-04-03 06:00:00,2023-04-03 06:00:00,0.2,0,-2.9,-4.3
2023-04-03 12:00:00,2023-04-03 12:00:00,3.5,4.6,-0.8,0.8
2023-04-03 18:00:00,2023-04-03 18:00:00,0.2,0.3,-3.7,-3.1
2023-04-04 00:00:00,2023-04-04 00:00:00,-1.6,-3.4,-5.4,-7.6
2023-04-04 06:00:00,2023-04-04 06:00:00,0,-1.9,-3.1,-7.9
2023-04-04 12:00:00,2023-04-04 12:00:00,2.8,2.6,-0.5,-1.7
2023-04-04 18:00:00,2023-04-04 18:00:00,1.2,-0.7,-0.8,-3.3
2023-04-05 00:00:00,2023-04-05 00:00:00,-1.1,-4.8,-1.1,-4.8
2023-04-05 06:00:00,2023-04-05 06:00:00,-0.1,-1.3,-0.1,-4
2023-04-05 12:00:00,2023-04-05 12:00:00,4.1,1.6,1.4,-0.6
2023-04-05 18:00:00,2023-04-05 18:00:00,1.1,0.6,1.1,-1.8
2023-04-06 12:00:00,2023-04-06 12:00:00,3.2,3.2,0.5,0.3
2023-04-06 18:00:00,2023-04-06 18:00:00,4,2.3,2.2,2.3
2023-04-07 00:00:00,2023-04-07 00:00:00,4.6,0.6,3.2,0.6
2023-04-07 06:00:00,2023-04-07 06:00:00,5.8,-1.4,5.8,-4.1
2023-04-08 06:00:00,2023-04-08 06:00:00,8.5,5.2,8.5,5.2
2023-04-08 12:00:00,2023-04-08 12:00:00,6.9,10.1,6.9,10.1
2023-04-08 18:00:00,2023-04-08 18:00:00,5.6,9,5.6,9
2023-04-09 12:00:00,2023-04-09 12:00:00,9.5,11.9,9.5,11.9
2023-04-09 18:00:00,2023-04-09 18:00:00,7.6,8.5,7.6,8.5
2023-04-10 00:00:00,2023-04-10 00:00:00,7.8,4.8,7.8,2.3
2023-04-10 06:00:00,2023-04-10 06:00:00,7.1,5.3,7.1,5.3
2023-04-10 12:00:00,2023-04-10 12:00:00,8.7,10.1,8.7,10.1
2023-04-10 18:00:00,2023-04-10 18:00:00,5.4,7.5,5.4,7.5
2023-04-11 00:00:00,2023-04-11 00:00:00,1.4,1.6,-0.2,-0.6
2023-04-11 06:00:00,2023-04-11 06:00:00,9.9,6.2,9.9,6.2
2023-04-11 12:00:00,2023-04-11 12:00:00,16.3,10.6,16.3,10.6
2023-04-11 18:00:00,2023-04-11 18:00:00,14.1,8.4,14.1,8.4
2023-04-12 00:00:00,2023-04-12 00:00:00,10.2,7.1,10.2,7.1
2023-04-12 12:00:00,2023-04-12 12:00:00,17.1,13.2,17.1,13.2
2023-04-12 18:00:00,2023-04-12 18:00:00,13.8,9.1,13.8,9.1
2023-04-13 00:00:00,2023-04-13 00:00:00,12,8.1,12,8.1
2023-04-14 00:00:00,2023-04-14 00:00:00,9.5,6.4,9.5,6.4
2023-04-14 06:00:00,2023-04-14 06:00:00,9.7,7.9,9.7,7.9
2023-04-14 12:00:00,2023-04-14 12:00:00,12.8,13.7,12.8,13.7
2023-04-14 18:00:00,2023-04-14 18:00:00,12.4,6.1,12.4,6.1
2023-04-15 00:00:00,2023-04-15 00:00:00,9.4,4.7,9.4,2.1
2023-04-15 06:00:00,2023-04-15 06:00:00,9.8,6.3,9.8,6.3
2023-04-15 12:00:00,2023-04-15 12:00:00,13.7,9.9,13.7,9.9
2023-04-16 12:00:00,2023-04-16 12:00:00,5.8,6.4,5.8,6.4
2023-04-16 18:00:00,2023-04-16 18:00:00,6.1,4.5,6.1,0.7
2023-04-17 00:00:00,2023-04-17 00:00:00,5.4,3.4,5.4,-0.7
2023-04-17 06:00:00,2023-04-17 06:00:00,5.8,8.1,5.8,8.1
2023-04-17 12:00:00,2023-04-17 12:00:00,8.2,12.1,8.2,12.1
2023-04-17 18:00:00,2023-04-17 18:00:00,8.9,7.9,8.9,7.9
2023-04-18 00:00:00,2023-04-18 00:00:00,7.3,4,7.3,2.2
2023-04-18 12:00:00,2023-04-18 12:00:00,9,12.6,9,12.6
2023-04-18 18:00:00,2023-04-18 18:00:00,8.6,7.3,8.6,7.3
2023-04-19 00:00:00,2023-04-19 00:00:00,6.1,4.9,6.1,2.4
2023-04-19 06:00:00,2023-04-19 06:00:00,6.6,7.5,6.6,7.5
2023-04-19 18:00:00,2023-04-19 18:00:00,13.4,7.9,13.4,7.9
2023-04-20 00:00:00,2023-04-20 00:00:00,9.5,2.2,9.5,0.1
2023-04-20 06:00:00,2023-04-20 06:00:00,10.6,7.2,10.6,7.2
2023-04-21 00:00:00,2023-04-21 00:00:00,7.8,6.3,7.8,6.3
2023-04-21 06:00:00,2023-04-21 06:00:00,10.2,7.9,10.2,7.9
2023-04-21 12:00:00,2023-04-21 12:00:00,10.2,13.3,10.2,13.3
2023-04-21 18:00:00,2023-04-21 18:00:00,6.5,9.9,6.5,9.9
2023-04-22 00:00:00,2023-04-22 00:00:00,5.9,6.3,5.9,6.3
2023-04-22 12:00:00,2023-04-22 12:00:00,12.6,13.8,12.6,13.8
2023-04-22 18:00:00,2023-04-22 18:00:00,9.6,8.6,9.6,8.6
2023-04-23 00:00:00,2023-04-23 00:00:00,5.9,6.2,5.9,6.2
2023-04-23 06:00:00,2023-04-23 06:00:00,12.5,10.3,12.5,10.3
2023-04-23 12:00:00,2023-04-23 12:00:00,19.4,13.9,19.4,13.9
2023-04-23 18:00:00,2023-04-23 18:00:00,17,10.2,17,10.2
2023-04-24 00:00:00,2023-04-24 00:00:00,8.3,9.8,8.3,9.8
2023-04-24 06:00:00,2023-04-24 06:00:00,9.7,11.4,9.7,11.4
2023-04-24 12:00:00,2023-04-24 12:00:00,16.7,18.4,16.7,18.4
2023-04-24 18:00:00,2023-04-24 18:00:00,11.6,11.8,11.6,11.8
2023-04-25 00:00:00,2023-04-25 00:00:00,9.7,6.5,9.7,6.5
2023-04-25 06:00:00,2023-04-25 06:00:00,9.8,5.5,9.8,5.5
2023-04-25 12:00:00,2023-04-25 12:00:00,7.5,5.4,7.5,5.4
2023-04-25 18:00:00,2023-04-25 18:00:00,6.9,5.4,6.9,5.4
2023-04-26 00:00:00,2023-04-26 00:00:00,6.5,4.8,6.5,4.8
2023-04-26 06:00:00,2023-04-26 06:00:00,7,5.7,7,5.7
2023-04-26 12:00:00,2023-04-26 12:00:00,8.2,8.7,8.2,8.7
2023-04-26 18:00:00,2023-04-26 18:00:00,6.3,4,6.3,4
2023-04-27 00:00:00,2023-04-27 00:00:00,6,3.2,6,0.3
2023-04-27 12:00:00,2023-04-27 12:00:00,8.4,7.1,8.4,7.1
2023-04-27 18:00:00,2023-04-27 18:00:00,5.9,3.7,5.9,0.3
2023-04-28 00:00:00,2023-04-28 00:00:00,6,0.6,6,-2.8
2023-04-28 06:00:00,2023-04-28 06:00:00,6.8,5.1,6.8,5.1
2023-04-28 18:00:00,2023-04-28 18:00:00,5.6,5.6,5.6,5.6
2023-04-29 00:00:00,2023-04-29 00:00:00,-1,1.5,-3.1,-0.7
2023-04-29 06:00:00,2023-04-29 06:00:00,7.5,6.1,7.5,6.1
2023-04-29 18:00:00,2023-04-29 18:00:00,10.6,6.2,10.6,6.2
2023-04-30 00:00:00,2023-04-30 00:00:00,7.6,1.3,7.6,-0.9
2023-04-30 06:00:00,2023-04-30 06:00:00,8,6,8,6
2023-04-30 12:00:00,2023-04-30 12:00:00,8.1,10,8.1,10
2023-04-30 18:00:00,2023-04-30 18:00:00,6.4,5.6,6.4,5.6
2023-05-01 00:00:00,2023-05-01 00:00:00,5.4,0.8,5.4,-1.5
2023-05-01 06:00:00,2023-05-01 06:00:00,7.6,5,7.6,3.4
2023-05-01 12:00:00,2023-05-01 12:00:00,9.8,11.5,9.8,11.5
2023-05-01 18:00:00,2023-05-01 18:00:00,7.5,6.7,7.5,6.7
2023-05-02 00:00:00,2023-05-02 00:00:00,11,5.6,11,5.6
2023-05-02 06:00:00,2023-05-02 06:00:00,10.2,5.2,10.2,5.2
2023-05-02 12:00:00,2023-05-02 12:00:00,7.8,11.8,7.8,11.8
2023-05-02 18:00:00,2023-05-02 18:00:00,6.2,7.2,6.2,7.2
2023-05-03 00:00:00,2023-05-03 00:00:00,5.4,3.6,5.4,1.7
2023-05-03 06:00:00,2023-05-03 06:00:00,7.1,6.8,7.1,6.8
2023-05-03 12:00:00,2023-05-03 12:00:00,9.5,7.8,9.5,7.8
2023-05-03 18:00:00,2023-05-03 18:00:00,7.1,5.5,7.1,5.5
2023-05-04 12:00:00,2023-05-04 12:00:00,10.3,11.4,10.3,11.4
2023-05-04 18:00:00,2023-05-04 18:00:00,7.7,7,7.7,7
2023-05-05 00:00:00,2023-05-05 00:00:00,2.6,2.4,0,0.3
2023-05-04 06:00:00,2023-05-04 06:00:00,7.4,5.7,7.4,5.7
2023-05-05 12:00:00,2023-05-05 12:00:00,10.2,8.5,10.2,8.5
2023-05-05 18:00:00,2023-05-05 18:00:00,7.3,4.4,7.3,2.7
2023-05-06 00:00:00,2023-05-06 00:00:00,0.7,-0.2,-2.6,-3.7
2023-05-06 12:00:00,2023-05-06 12:00:00,12.1,6.6,12.1,6.6
2023-05-06 18:00:00,2023-05-06 18:00:00,9.9,5.1,9.9,5.1
2023-05-07 00:00:00,2023-05-07 00:00:00,3.4,3.8,0.2,0.4
2023-05-07 06:00:00,2023-05-07 06:00:00,8.6,6.1,8.6,6.1
2023-05-07 12:00:00,2023-05-07 12:00:00,11.8,11.7,11.8,11.7
2023-05-07 18:00:00,2023-05-07 18:00:00,8.6,7.3,8.6,7.3
2023-05-08 00:00:00,2023-05-08 00:00:00,3.6,3,1.5,0.1
2023-05-08 06:00:00,2023-05-08 06:00:00,11.1,8.3,11.1,8.3
2023-05-08 12:00:00,2023-05-08 12:00:00,12.8,14.1,12.8,14.1
2023-05-08 18:00:00,2023-05-08 18:00:00,11.6,9.6,11.6,9.6
2023-05-09 00:00:00,2023-05-09 00:00:00,6.2,5.9,6.2,5.9
2023-05-09 06:00:00,2023-05-09 06:00:00,12.5,8.2,12.5,8.2
2023-05-11 12:00:00,2023-05-11 12:00:00,15.3,16.3,15.3,16.3
2023-05-11 18:00:00,2023-05-11 18:00:00,13.8,14.2,13.8,14.2
2023-05-12 00:00:00,2023-05-12 00:00:00,8.3,11.4,8.3,11.4
2023-05-12 06:00:00,2023-05-12 06:00:00,15.8,12,15.8,12
